NOMBRE,REGIONAL,CIUDAD,DEPARTAMENTO,DIRECCION
AEROPUERTO CAREPA,ANTIOQUIA,CAREPA,ANTIOQUIA,"AEROPUERTO CAREPA, KILOMETRO 5 VIA ZUNGO"
AEROPUERTO DORADO I,BOGOTA,BOGOTA,CUNDINAMARCA,AEROPUERTO DORADO NUEVA TERMINAL PISO 1
AEROPUERTO DORADO II,BOGOTA,BOGOTA,CUNDINAMARCA,AEROPUERTO DORADO NUEVA TERMINAL PISO 3
AEROPUERTO MATECAÑA PEREIRA,CAFETERA,PEREIRA,RISARALDA,AEROPUERTO INTERNACIONAL MATECAÑA
AEROPUERTO JOSE MARIA CORDOBA,ANTIOQUIA,RIONEGRO,ANTIOQUIA,AEROPUERTO JOSE MARIA CORDOBA LOCAL 71 A
AEROPUERTO OLAYA HERRERA,ANTIOQUIA,MEDELLIN,ANTIOQUIA,"AEROPUERTO OLAYA HERRERA, CARRERA 65 # 13-57 LOCAL 87"
AEROPUERTO CALI,OCCIDENTE,PALMIRA,VALLE DEL CAUCA,AEROPUERTO PALMIRA
AEROPUERTO CARTAGENA,COSTA,CARTAGENA,BOLIVAR,AEROPUERTO RAFAEL NUÑEZ PISO 3
CARULLA RAMBLAS,COSTA,CARTAGENA,BOLIVAR,ANILLO VIAL KM 10 MANZANILLO
TEXACO TOCANCIPA,BOGOTA,TOCANCIPA,CUNDINAMARCA,AUTO NORTE KM 2
MOBIL RUMBOS,BOGOTA,CHIA,CUNDINAMARCA,AUTONORTE KM 20
TIGER RUITOQUE,SANTANDERES,FLORIDABLANCA,SANTANDER,AUTOPISTA FLORIDABLANCA # 205-10
CENTRO COMERCIAL PLAZA 127,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA NORTE # 125-91 LOCAL 11
CENTRO COMERCIAL SAN ANDRESITO II,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA NORTE CALLE 193
CENTRO COMERCIAL SAN ANDRESITO NORTE,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA NORTE CALLE 193
MOBIL TEXANA,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA NORTE CALLE 195
CENTRO COMERCIAL PARQUE BIMA,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA NORTE KM 16
VENECIA,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA SUR # 51D-31
METRO AUTO SUR,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA SUR AVENIDA BOSA ESQUINA # 77A-18
TERMINAL DE SUR,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA SUR AVENIDA BOSA ESQUINA
HOME CENTER SOACHA,BOGOTA,SOACHA,CUNDINAMARCA,AUTOPISTA SUR CENTRO COMERCIAL MERCURIO
GNB CUCUTA,SANTANDERES,CUCUTA,NORTE DE SANTANDER,AVENIDA 0 # 19-23
GNB PEPE SIERRA I,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 116 # 11-12
PETROBAS NAVARRA,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA NORTE CALLE 109
COLSUBSIDIO NUEVA ZELANDI,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 13 # 177-01
CENTRO COMERCIAL CALLE 184 II,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 13 # 183-86
CALLE 104,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 15 # 103-78
CENTRO COMERCIAL MONSERRATE,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 19 #  5-93
GNB AVIATUR AVENIDA 19,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 19 # 4-62
CMR 122,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 19 CALLE 122
COLSUBSIDIO PRIMERA DE MAYO,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 1O MAYO # 79-37 SUR
CARULLA SOLEDAD,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 22 # 41-43
OLIMPICA SANTA ISABEL,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 3 # 29-69
OLIMPICA BOCA GRANDE 2,COSTA,CARTAGENA,BOLIVAR,AVENIDA 3 # 5-181
CENTRO COMERCIAL CENTENARIO,OCCIDENTE,CALI,VALLE DEL CAUCA,AVENIDA 3 # 7N-46 LOCAL 201C
ÉXITO LA FLORA,OCCIDENTE,CALI,VALLE DEL CAUCA,AVENIDA 3F # 52N-46
ESSO MATECANA,CAFETERA,PEREIRA,RISARALDA,AVENIDA 30 # 49-76
CENTRO COMERCIAL UNICENTRO PEREIRA,CAFETERA,PEREIRA,RISARALDA,AVENIDA 30 DE AGOSTO #  75-51
OLIMPICA VERSALLE 2,OCCIDENTE,CALI,VALLE DEL CAUCA,AVENIDA 4 # 21N-89
OLIMPICA VILLAVICENCIO CENTRO,BOGOTA,VILLAVICENCIO,META,AVENIDA 40 #  16B-159
ÉXITO SANTA MARTA,COSTA,SANTA MARTA,MAGDALENA,AVENIDA 5 CALLE 19 ESQUINA
LA 14 AVENIDA 6,OCCIDENTE,CALI,VALLE DEL CAUCA,AVENIDA 6 # 30N-47
HOME CENTER CALI NORTE,OCCIDENTE,CALI,VALLE DEL CAUCA,HOME CENTER CALI AVENIDA 6A NORTE # 35-00
ALAMOS NORTE II,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 68 # 101-22
DIAMANTE II,SANTANDERES,BUCARAMANGA,SANTANDER,AVENIDA 89 #  23-117
PETROBAS AUT MED,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA MEDELLÍN VIA SIBERIA
ÉXITO COUNTRY,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 9 CALLE 134 ESQUINA
CENTRO COMERCIAL CARRERA,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA AMERICAS #  51-39
NUEVA MARSELLA I,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA AMERICAS # 58F-59
ÉXITO AMERICA,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA AMÉRICAS # 69A-94
MARSELLA,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA AMERICAS # 69C-14
GNB CARTAGENA,COSTA,CARTAGENA,BOLIVAR,AVENIDA ARSENAL CALLE LA MARINA
GNB BOLIVARIANO,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA BOYACA # 15-69
BETAT NORMANDIA,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA BOYACA # 53-81
CENTRO COMERCIAL MALL 138,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA BOYACA CALLE 138
LLANO LINDO,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA BOYACA CALLE 42 ESQUINA
COMFANDI MORICHAL,OCCIDENTE,CALI,VALLE DEL CAUCA,AVENIDA CIUDAD DE CALI # 42B-21 SUR
CENTRO COMERCIAL MILENIUM PLAZA,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CIUDAD DE CALI # 42B-51 SUR
JUMBO HAYUELOS,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CARRERA 86 # 19A-50 CENTROL COMERCIAL HAYUELOS
CANDELARIA II,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CALLE 69 SUR #45B-27
NUEVA CANDELARIA,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CALLE 68 SUR # 45B-27
GNB CIUDAD JARDIN,OCCIDENTE,CALI,VALLE DEL CAUCA,AVENIDA CAÑASGORDAS CASA 15
OLAYA II,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CARACAS # 27-51 SUR
METRO ALQUERIA,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CARRERA 68 #  38-87 SUR
CENTRO COMERCIAL TINTAL II,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CARRERA 86 # 6-37
CENTRO COMERCIAL TINTAL,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CARRERA 86 # 6-37
METRO GIRON,SANTANDERES,GIRON,SANTANDER,AVENIDA CAYENES BULEVAR CEIBAS # 21B-23
CMR PEREIRA,CAFETERA,PEREIRA,RISARALDA,AVENIDA CIRCUNVALAR # 5-20 LOCAL 214
UNIVERSIDAD MANUELA BELTRAN,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CIRCUNVALAR # 60-00
CMR HAYUELOS,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CIUDAD DE CALI  CON AVENIDA FERROCARRIL LOCAL 1-100
CENTRO COMERCIAL MULTIPLAZA,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CLL 68 SUR #  47-10
